age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
40 to 49 years-old,Non-binary,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",10,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",6,Management,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Middle Eastern,2,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,40,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Not at all,No,Negative,Other,7,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Management,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Negative,"African, Caribbean, or Black ",8,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,5,Health,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,30,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,8,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,Asian,14,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Asian,35,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,No,Positive,White,40,Sales and service,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,"Trades, transport and equipment operators",Work from Home Only,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Work from Home Only,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,No,Positive,White,38,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Other,10,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,Other,10,"Trades, transport and equipment operators",Hybrid,"$90,000 or more",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",8,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,35,Sales and service,Hybrid,"$30,000 to $59,999",Some College
